小时,温度,风力方向,风级,降水量,相对湿度,空气质量
08,17.3,西北风,2,0,72,
07,16.4,西北风,2,0,76,103
06,15.8,西北风,2,0,79,102
05,16,西北风,1,0,77,101
04,16.5,西北风,2,0,75,99
03,17,北风,1,0,71,94
02,16.9,北风,2,0,73,87
01,16.6,北风,1,0,74,89
00,17.2,西北风,2,0,71,88
23,17.6,东北风,1,0,70,87
22,17.6,北风,1,0,69,84
21,18.2,西南风,1,0,62,78
20,19.6,东南风,2,0,57,85
19,20.3,东南风,2,0,54,85
18,21,东南风,3,0,55,83
17,21.1,东南风,2,0,57,82
16,20.6,东南风,2,0,56,81
15,20.1,东南风,3,0,57,80
14,21.2,南风,2,0,49,75
13,21.9,东南风,2,0,43,67
12,21,东风,1,0,43,65
11,20.3,东北风,1,0,48,64
10,18.5,东北风,1,0,51,65
09,16.4,北风,1,0,58,65
